ID,True Label,Predicted Label
0,59,102
1,96,108
2,104,111
3,24,67
4,34,19
5,106,106
6,19,100
7,22,22
8,113,24
9,52,100
10,68,92
11,134,103
12,85,100
13,133,103
14,37,53
15,52,100
16,50,25
17,77,77
18,102,102
19,98,77
20,21,49
21,108,108
22,105,113
23,47,80
24,108,108
25,63,107
26,0,108
27,108,108
28,103,106
29,113,77
30,108,108
31,51,70
32,97,108
33,56,55
34,81,82
35,133,57
36,34,34
37,44,77
38,3,1
39,103,103
40,102,132
41,43,108
42,112,47
43,134,108
44,68,55
45,111,108
46,92,83
47,113,59
48,63,86
49,79,28
50,77,77
51,110,108
52,24,50
53,74,132
54,93,80
55,26,25
56,130,70
57,22,22
58,96,108
59,9,0
60,133,103
61,19,19
62,115,133
63,10,43
64,77,92
65,77,77
66,113,77
67,11,108
68,58,58
69,108,108
70,66,68
71,98,64
72,71,28
73,68,67
74,85,85
75,17,126
76,24,121
77,68,48
78,88,88
79,61,108
80,67,84
81,2,108
82,76,108
83,109,108
84,112,103
85,26,53
86,25,84
87,104,104
88,50,34
89,112,106
90,103,103
91,84,26
92,131,70
93,26,84
94,127,85
95,69,67
96,109,108
97,108,108
98,71,26
99,73,24
100,102,103
101,133,103
102,77,77
103,0,9
104,116,102
105,33,19
106,44,64
107,108,108
108,103,103
109,133,133
110,34,22
111,34,49
112,25,25
113,24,25
114,111,96
115,130,88
116,30,55
117,132,111
118,70,70
119,49,22
120,77,112
121,36,43
122,134,104
123,108,108
124,132,103
125,115,108
126,133,103
127,101,52
128,121,25
129,20,34
130,24,28
131,97,43
132,132,132
133,25,26
134,25,70
135,70,70
136,67,67
137,107,71
138,105,102
139,102,102
140,51,67
141,92,101
142,98,75
143,108,108
144,104,104
145,91,79
146,109,108
147,26,49
148,25,49
149,22,34
150,23,21
151,54,67
152,97,108
153,113,58
154,28,28
155,34,18
156,112,60
157,83,84
158,85,88
159,53,26
160,51,100
161,113,98
162,61,75
163,22,22
164,103,103
165,134,108
166,50,49
167,108,108
168,24,91
169,33,77
170,38,85
171,123,132
172,83,18
173,17,19
174,34,49
175,108,108
176,85,85
177,64,98
178,80,80
179,109,109
180,31,19
181,86,86
182,46,77
183,77,77
184,21,49
185,134,77
186,19,18
187,44,108
188,43,42
189,68,26
190,3,108
191,128,79
192,120,121
193,32,25
194,34,22
195,103,103
196,9,9
197,79,79
198,80,79
199,108,108
200,59,98
201,123,88
202,75,77
203,97,108
204,77,112
205,21,25
206,103,103
207,108,108
208,109,1
209,76,108
210,70,70
211,113,58
212,77,77
213,78,79
214,69,70
215,112,77
216,76,108
217,26,83
218,21,21
219,11,101
220,25,19
221,22,22
222,0,77
223,52,100
224,79,79
225,11,71
226,65,87
227,62,113
228,67,132
229,133,106
230,100,99
231,103,103
232,78,79
233,79,83
234,77,77
235,49,25
236,66,55
237,53,80
238,55,70
239,125,58
240,102,132
241,99,100
242,67,25
243,3,108
244,69,70
245,84,121
246,76,108
247,44,53
248,71,43
249,102,124
250,108,108
251,85,85
252,43,86
253,49,22
254,108,109
255,108,108
256,85,85
257,24,25
258,17,108
259,77,113
260,1,1
261,49,49
262,68,68
263,25,24
264,76,108
265,46,26
266,106,106
267,103,103
268,44,112
269,55,35
270,109,108
271,96,43
272,70,67
273,84,84
274,81,85
275,123,99
276,127,79
277,69,70
278,70,70
279,81,81
280,37,80
281,78,25
282,78,79
283,111,0
284,99,25
285,90,19
286,100,101
287,24,70
288,24,26
289,75,58
290,130,70
291,121,67
292,75,84
293,55,55
294,25,80
295,108,108
296,79,79
297,98,98
298,31,19
299,25,25
300,40,106
301,108,108
302,74,106
303,9,108
304,39,108
305,24,132
306,42,70
307,108,108
308,110,108
309,2,108
310,49,22
311,25,52
312,25,68
313,22,22
314,113,25
315,67,124
316,108,108
317,59,77
318,67,70
319,38,104
320,112,112
321,58,103
322,26,33
323,99,49
324,110,108
325,78,25
326,18,19
327,112,106
328,104,103
329,19,19
330,56,55
331,71,55
332,77,77
333,107,106
334,126,100
335,59,58
336,18,28
